fileid,audiopath,prev,next,time,emotion,transcription
Ses01F_script02_1_F000,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,Ses01F_script02_1_M001,Ses01F_script02_1_M002,15.1400 - 17.2100,neu,Fine.
Ses01F_script02_1_F001,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F001.wav,Ses01F_script02_1_M003,Ses01F_script02_1_M004,25.9100 - 27.4125,fru,[BREATHING]
Ses01F_script02_1_F002,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F002.wav,Ses01F_script02_1_M005,Ses01F_script02_1_M006,38.9900 - 40.0500,xxx,What?
Ses01F_script02_1_F003,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F003.wav,Ses01F_script02_1_M006,Ses01F_script02_1_M007,45.0600 - 47.0300,sur,What flashlight?
Ses01F_script02_1_F004,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,Ses01F_script02_1_M007,Ses01F_script02_1_M008,49.2200 - 51.4000,neu,That's not your flashlight.
Ses01F_script02_1_F005,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F005.wav,Ses01F_script02_1_M008,Ses01F_script02_1_M009,51.8700 - 54.2300,xxx,It's ours; it's my flashlight too.
Ses01F_script02_1_F006,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,Ses01F_script02_1_M009,Ses01F_script02_1_M010,54.7200 - 57.6900,ang,You keep saying my flashlight like it's just yours.
Ses01F_script02_1_F007,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav,Ses01F_script02_1_M010,Ses01F_script02_1_M011,57.7500 - 59.5700,ang,How's that supposed to make me feel?
Ses01F_script02_1_F008,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav,Ses01F_script02_1_M013,Ses01F_script02_1_M014,76.2700 - 77.6400,neu,Yeah.
Ses01F_script02_1_F009,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.wav,Ses01F_script02_1_M016,Ses01F_script02_1_M017,101.7200 - 103.5025,hap,[LAUGHTER]
Ses01F_script02_1_F010,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.wav,Ses01F_script02_1_M017,Ses01F_script02_1_M018,110.7700 - 112.6900,sad,I'm cold.
Ses01F_script02_1_F011,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F011.wav,Ses01F_script02_1_M018,Ses01F_script02_1_M019,113.7900 - 115.9800,xxx,"It's after eleven, let's go."
Ses01F_script02_1_F012,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F012.wav,Ses01F_script02_1_M019,Ses01F_script02_1_M020,121.6500 - 123.2300,xxx,There is no point.
Ses01F_script02_1_F013,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F013.wav,Ses01F_script02_1_M020,Ses01F_script02_1_M021,124.0500 - 126.0400,xxx,That's my point.
Ses01F_script02_1_F014,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F014.wav,Ses01F_script02_1_M021,Ses01F_script02_1_M022,127.4400 - 129.3900,fru,"Well, then let's go."
Ses01F_script02_1_F015,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav,Ses01F_script02_1_M022,Ses01F_script02_1_M023,137.2900 - 139.6146,neu,Not particularly.
Ses01F_script02_1_F016,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F016.wav,Ses01F_script02_1_M023,Ses01F_script02_1_M024,140.5000 - 143.0700,xxx,I just don't.  It's stupid.
Ses01F_script02_1_F017,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F017.wav,Ses01F_script02_1_M024,Ses01F_script02_1_M025,154.9000 - 163.9900,fru,"Pass what up?  I mean these fish swim out of the ocean, they flop around on the beach, they swim away and then they die."
Ses01F_script02_1_F018,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F018.wav,Ses01F_script02_1_M026,Ses01F_script02_1_M027,180.6769 - 189.4500,xxx,I don't see why you're so excited; this isn't a freaking moon landing we are talking about.  It's fish.  It's a fish nobody even eats.
Ses01F_script02_1_F019,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F019.wav,Ses01F_script02_1_M027,Ses01F_script02_1_M028,189.9300 - 191.5900,fru,Oh Augie
Ses01F_script02_1_F020,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F020.wav,Ses01F_script02_1_M029,Ses01F_script02_1_M030,208.3800 - 210.2000,xxx,I'm just not.
Ses01F_script02_1_F021,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F021.wav,Ses01F_script02_1_M030,Ses01F_script02_1_M031,210.6400 - 211.9200,fru,Yeah.
Ses01F_script02_1_F022,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F022.wav,Ses01F_script02_1_M032,Ses01F_script02_1_M033,224.5800 - 237.0050,xxx,"Last time, you'll also remember, we got our shoes wet, I got sand in my panties, you got a sore throat and we got into a big fight and we did not see the grunions."
Ses01F_script02_1_F023,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F023.wav,Ses01F_script02_1_M033,Ses01F_script02_1_M034,238.1400 - 240.7300,fru,Hmm.  We didn't see them the year before either.
Ses01F_script02_1_F024,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav,Ses01F_script02_1_M042,Ses01F_script02_1_M043,321.2100 - 323.8200,neu,That's the wind.
Ses01F_script02_1_F025,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav,Ses01F_script02_1_M043,Ses01F_script02_1_M044,326.5600 - 329.0300,neu,About what?
Ses01F_script02_1_M000,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M000.wav,,Ses01F_script02_1_M001,1.8151 - 9.0350,xxx,"What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh."
Ses01F_script02_1_M001,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M001.wav,Ses01F_script02_1_M000,Ses01F_script02_1_F000,9.0925 - 15.6200,xxx,"Actually I want to get a little further up the coast, get away from all like the lights and the people, but...  How are you doing?"
Ses01F_script02_1_M002,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M002.wav,Ses01F_script02_1_F000,Ses01F_script02_1_M003,16.9600 - 20.0000,exc,"Okay.  Is that, is that--"
Ses01F_script02_1_M003,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M003.wav,Ses01F_script02_1_M002,Ses01F_script02_1_F001,20.0500 - 26.6500,xxx,No.  That's just foam.  I don't know.  I can't tell.
Ses01F_script02_1_M004,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M004.wav,Ses01F_script02_1_F001,Ses01F_script02_1_M005,27.1300 - 35.7987,xxx,"I don't know, probably if you can't tell, though, it's probably not them, right?  It's probably going to be like this unmistakable thing, right?"
Ses01F_script02_1_M005,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M005.wav,Ses01F_script02_1_M004,Ses01F_script02_1_F002,35.8990 - 39.4800,xxx,Oh no.  you know what I forgot?
Ses01F_script02_1_M006,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M006.wav,Ses01F_script02_1_F002,Ses01F_script02_1_F003,39.5000 - 45.4500,xxx,"My flashlight.  God, how could I be so stupid?  I can't believe I forgot my flashlight."
Ses01F_script02_1_M007,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav,Ses01F_script02_1_F003,Ses01F_script02_1_F004,46.4200 - 49.9500,neu,"The flashlight, the silver one.  There's only one, isn't there?"
Ses01F_script02_1_M008,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav,Ses01F_script02_1_F004,Ses01F_script02_1_F005,50.8500 - 52.4000,neu,Whose is it?
Ses01F_script02_1_M009,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav,Ses01F_script02_1_F005,Ses01F_script02_1_F006,53.7600 - 55.4800,neu,"Oh...well. Yeah, of course."
Ses01F_script02_1_M010,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav,Ses01F_script02_1_F006,Ses01F_script02_1_F007,57.2900 - 58.4200,neu,No.
Ses01F_script02_1_M011,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav,Ses01F_script02_1_F007,Ses01F_script02_1_M012,58.8800 - 65.6016,neu,"Of course, our flashlight.  What's yours is mine.  Me flashlight es su flashlight."
Ses01F_script02_1_M012,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M012.wav,Ses01F_script02_1_M011,Ses01F_script02_1_M013,65.7270 - 73.0100,fru,"Naturally.  God, how could we not think to bring it?  I hope the moon stays out, though."
Ses01F_script02_1_M013,./IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.wav,Ses01F_script02_1_M012,Ses01F_script02_1_F008,73.1527 - 77.1400,neu,Do they always run during a full moon?  I don't remember.  Was it full last year?
